iter	Passed	Remaining
870	1889	279
871	1890	277
872	1891	275
873	1893	272
874	1894	270
875	1896	268
876	1897	266
877	1899	263
878	1901	261
879	1902	259
880	1903	257
881	1905	254
882	1906	252
883	1907	250
884	1909	248
885	1910	245
886	1911	243
887	1913	241
888	1915	239
889	1917	236
890	1918	234
891	1919	232
892	1921	230
893	1922	227
894	1923	225
895	1925	223
896	1926	221
897	1928	218
898	1929	216
899	1931	214
900	1932	212
901	1934	210
902	1935	207
903	1936	205
904	1938	203
905	1939	201
906	1940	199
907	1942	196
908	1943	194
909	1945	192
910	1946	190
911	1948	187
912	1949	185
913	1950	183
914	1952	181
915	1953	179
916	1954	176
917	1956	174
918	1957	172
919	1959	170
920	1961	168
921	1963	166
922	1964	163
923	1966	161
924	1967	159
925	1969	157
926	1970	155
927	1971	152
928	1973	150
929	1974	148
930	1976	146
931	1978	144
932	1979	142
933	1981	139
934	1982	137
935	1983	135
936	1985	133
937	1986	131
938	1987	129
939	1989	126
940	1991	124
941	1992	122
942	1994	120
943	1995	118
944	1996	116
945	1998	114
946	1999	111
947	2000	109
948	2002	107
949	2003	105
950	2005	103
951	2007	101
952	2008	99
953	2010	96
954	2011	94
955	2013	92
956	2014	90
957	2016	88
958	2017	86
959	2018	84
960	2020	81
961	2022	79
962	2023	77
963	2024	75
964	2026	73
965	2027	71
966	2029	69
967	2030	67
968	2031	64
969	2033	62
970	2034	60
971	2036	58
972	2038	56
973	2039	54
974	2040	52
975	2042	50
976	2043	48
977	2044	45
978	2046	43
979	2047	41
980	2049	39
981	2050	37
982	2052	35
983	2054	33
984	2055	31
985	2057	29
986	2058	27
987	2059	25
988	2061	22
989	2062	20
990	2063	18
991	2065	16
992	2067	14
993	2069	12
994	2070	10
995	2072	8
996	2073	6
997	2075	4
998	2076	2
999	2077	0
